"","manufacturer","model","displ","year","cyl","trans","drv","city","highway","fl","class","total","avg","info","grade"
"1","audi","a4",1.8,1999,4,"auto(l5)","f",18,29,"p","compact",47,18,"pass","A"
"2","audi","a4",1.8,1999,4,"manual(m5)","f",21,29,"p","compact",50,21,"pass","A"
"3","audi","a4",2,2008,4,"manual(m6)","f",20,31,"p","compact",51,20,"pass","A"
"4","audi","a4",2,2008,4,"auto(av)","f",21,30,"p","compact",51,21,"pass","A"
"5","audi","a4",2.8,1999,6,"auto(l5)","f",16,26,"p","compact",42,16,"pass","A"
"6","audi","a4",2.8,1999,6,"manual(m5)","f",18,26,"p","compact",44,18,"pass","A"
"7","audi","a4",3.1,2008,6,"auto(av)","f",18,27,"p","compact",45,18,"pass","A"
"8","audi","a4 quattro",1.8,1999,4,"manual(m5)","4",18,26,"p","compact",44,18,"pass","A"
"9","audi","a4 quattro",1.8,1999,4,"auto(l5)","4",16,25,"p","compact",41,16,"pass","A"
"10","audi","a4 quattro",2,2008,4,"manual(m6)","4",20,28,"p","compact",48,20,"pass","A"
"11","audi","a4 quattro",2,2008,4,"auto(s6)","4",19,27,"p","compact",46,19,"pass","A"
"12","audi","a4 quattro",2.8,1999,6,"auto(l5)","4",15,25,"p","compact",40,15,"pass","A"
"13","audi","a4 quattro",2.8,1999,6,"manual(m5)","4",17,25,"p","compact",42,17,"pass","A"
"14","audi","a4 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","compact",42,17,"pass","A"
"15","audi","a4 quattro",3.1,2008,6,"manual(m6)","4",15,25,"p","compact",40,15,"pass","A"
"16","audi","a6 quattro",2.8,1999,6,"auto(l5)","4",15,24,"p","midsize",39,15,"pass","B"
"17","audi","a6 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","midsize",42,17,"pass","A"
"18","audi","a6 quattro",4.2,2008,8,"auto(s6)","4",16,23,"p","midsize",39,16,"pass","B"
"19","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv",34,14,"pass","C"
"20","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",11,15,"e","suv",26,11,"fail","D"
"21","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv",34,14,"pass","C"
"22","chevrolet","c1500 suburban 2wd",5.7,1999,8,"auto(l4)","r",13,17,"r","suv",30,13,"pass","C"
"23","chevrolet","c1500 suburban 2wd",6,2008,8,"auto(l4)","r",12,17,"r","suv",29,12,"fail","D"
"24","chevrolet","corvette",5.7,1999,8,"manual(m6)","r",16,26,"p","2seater",42,16,"pass","A"
"25","chevrolet","corvette",5.7,1999,8,"auto(l4)","r",15,23,"p","2seater",38,15,"pass","B"
"26","chevrolet","corvette",6.2,2008,8,"manual(m6)","r",16,26,"p","2seater",42,16,"pass","A"
"27","chevrolet","corvette",6.2,2008,8,"auto(s6)","r",15,25,"p","2seater",40,15,"pass","A"
"28","chevrolet","corvette",7,2008,8,"manual(m6)","r",15,24,"p","2seater",39,15,"pass","B"
"29","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",14,19,"r","suv",33,14,"pass","C"
"30","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",11,14,"e","suv",25,11,"fail","D"
"31","chevrolet","k1500 tahoe 4wd",5.7,1999,8,"auto(l4)","4",11,15,"r","suv",26,11,"fail","D"
"32","chevrolet","k1500 tahoe 4wd",6.5,1999,8,"auto(l4)","4",14,17,"d","suv",31,14,"pass","C"
"33","chevrolet","malibu",2.4,1999,4,"auto(l4)","f",19,27,"r","midsize",46,19,"pass","A"
"34","chevrolet","malibu",2.4,2008,4,"auto(l4)","f",22,30,"r","midsize",52,22,"pass","A"
"35","chevrolet","malibu",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize",44,18,"pass","A"
"36","chevrolet","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize",47,18,"pass","A"
"37","chevrolet","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize",43,17,"pass","A"
"38","dodge","caravan 2wd",2.4,1999,4,"auto(l3)","f",18,24,"r","minivan",42,18,"pass","A"
"39","dodge","caravan 2wd",3,1999,6,"auto(l4)","f",17,24,"r","minivan",41,17,"pass","A"
"40","dodge","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan",38,16,"pass","B"
"41","dodge","caravan 2wd",3.3,1999,6,"auto(l4)","f",16,22,"r","minivan",38,16,"pass","B"
"42","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan",41,17,"pass","A"
"43","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",17,24,"r","minivan",41,17,"pass","A"
"44","dodge","caravan 2wd",3.3,2008,6,"auto(l4)","f",11,17,"e","minivan",28,11,"fail","D"
"45","dodge","caravan 2wd",3.8,1999,6,"auto(l4)","f",15,22,"r","minivan",37,15,"pass","B"
"46","dodge","caravan 2wd",3.8,1999,6,"auto(l4)","f",15,21,"r","minivan",36,15,"pass","B"
"47","dodge","caravan 2wd",3.8,2008,6,"auto(l6)","f",16,23,"r","minivan",39,16,"pass","B"
"48","dodge","caravan 2wd",4,2008,6,"auto(l6)","f",16,23,"r","minivan",39,16,"pass","B"
"49","dodge","dakota pickup 4wd",3.7,2008,6,"manual(m6)","4",15,19,"r","pickup",34,15,"pass","C"
"50","dodge","dakota pickup 4wd",3.7,2008,6,"auto(l4)","4",14,18,"r","pickup",32,14,"pass","C"
"51","dodge","dakota pickup 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","pickup",30,13,"pass","C"
"52","dodge","dakota pickup 4wd",3.9,1999,6,"manual(m5)","4",14,17,"r","pickup",31,14,"pass","C"
"53","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup",33,14,"pass","C"
"54","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","pickup",33,14,"pass","C"
"55","dodge","dakota pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup",21,9,"fail","D"
"56","dodge","dakota pickup 4wd",5.2,1999,8,"manual(m5)","4",11,17,"r","pickup",28,11,"fail","D"
"57","dodge","dakota pickup 4wd",5.2,1999,8,"auto(l4)","4",11,15,"r","pickup",26,11,"fail","D"
"58","dodge","durango 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","suv",30,13,"pass","C"
"59","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv",30,13,"pass","C"
"60","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv",21,9,"fail","D"
"61","dodge","durango 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","suv",30,13,"pass","C"
"62","dodge","durango 4wd",5.2,1999,8,"auto(l4)","4",11,16,"r","suv",27,11,"fail","D"
"63","dodge","durango 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv",31,13,"pass","C"
"64","dodge","durango 4wd",5.9,1999,8,"auto(l4)","4",11,15,"r","suv",26,11,"fail","D"
"65","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup",28,12,"fail","D"
"66","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","pickup",21,9,"fail","D"
"67","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup",30,13,"pass","C"
"68","dodge","ram 1500 pickup 4wd",4.7,2008,8,"auto(l5)","4",13,17,"r","pickup",30,13,"pass","C"
"69","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",12,16,"r","pickup",28,12,"fail","D"
"70","dodge","ram 1500 pickup 4wd",4.7,2008,8,"manual(m6)","4",9,12,"e","pickup",21,9,"fail","D"
"71","dodge","ram 1500 pickup 4wd",5.2,1999,8,"auto(l4)","4",11,15,"r","pickup",26,11,"fail","D"
"72","dodge","ram 1500 pickup 4wd",5.2,1999,8,"manual(m5)","4",11,16,"r","pickup",27,11,"fail","D"
"73","dodge","ram 1500 pickup 4wd",5.7,2008,8,"auto(l5)","4",13,17,"r","pickup",30,13,"pass","C"
"74","dodge","ram 1500 pickup 4wd",5.9,1999,8,"auto(l4)","4",11,15,"r","pickup",26,11,"fail","D"
"75","ford","expedition 2wd",4.6,1999,8,"auto(l4)","r",11,17,"r","suv",28,11,"fail","D"
"76","ford","expedition 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv",28,11,"fail","D"
"77","ford","expedition 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv",30,12,"pass","C"
"78","ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv",31,14,"pass","C"
"79","ford","explorer 4wd",4,1999,6,"manual(m5)","4",15,19,"r","suv",34,15,"pass","C"
"80","ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv",31,14,"pass","C"
"81","ford","explorer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv",32,13,"pass","C"
"82","ford","explorer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv",32,13,"pass","C"
"83","ford","explorer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv",30,13,"pass","C"
"84","ford","f150 pickup 4wd",4.2,1999,6,"auto(l4)","4",14,17,"r","pickup",31,14,"pass","C"
"85","ford","f150 pickup 4wd",4.2,1999,6,"manual(m5)","4",14,17,"r","pickup",31,14,"pass","C"
"86","ford","f150 pickup 4wd",4.6,1999,8,"manual(m5)","4",13,16,"r","pickup",29,13,"fail","D"
"87","ford","f150 pickup 4wd",4.6,1999,8,"auto(l4)","4",13,16,"r","pickup",29,13,"fail","D"
"88","ford","f150 pickup 4wd",4.6,2008,8,"auto(l4)","4",13,17,"r","pickup",30,13,"pass","C"
"89","ford","f150 pickup 4wd",5.4,1999,8,"auto(l4)","4",11,15,"r","pickup",26,11,"fail","D"
"90","ford","f150 pickup 4wd",5.4,2008,8,"auto(l4)","4",13,17,"r","pickup",30,13,"pass","C"
"91","ford","mustang",3.8,1999,6,"manual(m5)","r",18,26,"r","subcompact",44,18,"pass","A"
"92","ford","mustang",3.8,1999,6,"auto(l4)","r",18,25,"r","subcompact",43,18,"pass","A"
"93","ford","mustang",4,2008,6,"manual(m5)","r",17,26,"r","subcompact",43,17,"pass","A"
"94","ford","mustang",4,2008,6,"auto(l5)","r",16,24,"r","subcompact",40,16,"pass","A"
"95","ford","mustang",4.6,1999,8,"auto(l4)","r",15,21,"r","subcompact",36,15,"pass","B"
"96","ford","mustang",4.6,1999,8,"manual(m5)","r",15,22,"r","subcompact",37,15,"pass","B"
"97","ford","mustang",4.6,2008,8,"manual(m5)","r",15,23,"r","subcompact",38,15,"pass","B"
"98","ford","mustang",4.6,2008,8,"auto(l5)","r",15,22,"r","subcompact",37,15,"pass","B"
"99","ford","mustang",5.4,2008,8,"manual(m6)","r",14,20,"p","subcompact",34,14,"pass","C"
"100","honda","civic",1.6,1999,4,"manual(m5)","f",28,33,"r","subcompact",61,28,"pass","A"
"101","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact",56,24,"pass","A"
"102","honda","civic",1.6,1999,4,"manual(m5)","f",25,32,"r","subcompact",57,25,"pass","A"
"103","honda","civic",1.6,1999,4,"manual(m5)","f",23,29,"p","subcompact",52,23,"pass","A"
"104","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact",56,24,"pass","A"
"105","honda","civic",1.8,2008,4,"manual(m5)","f",26,34,"r","subcompact",60,26,"pass","A"
"106","honda","civic",1.8,2008,4,"auto(l5)","f",25,36,"r","subcompact",61,25,"pass","A"
"107","honda","civic",1.8,2008,4,"auto(l5)","f",24,36,"c","subcompact",60,24,"pass","A"
"108","honda","civic",2,2008,4,"manual(m6)","f",21,29,"p","subcompact",50,21,"pass","A"
"109","hyundai","sonata",2.4,1999,4,"auto(l4)","f",18,26,"r","midsize",44,18,"pass","A"
"110","hyundai","sonata",2.4,1999,4,"manual(m5)","f",18,27,"r","midsize",45,18,"pass","A"
"111","hyundai","sonata",2.4,2008,4,"auto(l4)","f",21,30,"r","midsize",51,21,"pass","A"
"112","hyundai","sonata",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize",52,21,"pass","A"
"113","hyundai","sonata",2.5,1999,6,"auto(l4)","f",18,26,"r","midsize",44,18,"pass","A"
"114","hyundai","sonata",2.5,1999,6,"manual(m5)","f",18,26,"r","midsize",44,18,"pass","A"
"115","hyundai","sonata",3.3,2008,6,"auto(l5)","f",19,28,"r","midsize",47,19,"pass","A"
"116","hyundai","tiburon",2,1999,4,"auto(l4)","f",19,26,"r","subcompact",45,19,"pass","A"
"117","hyundai","tiburon",2,1999,4,"manual(m5)","f",19,29,"r","subcompact",48,19,"pass","A"
"118","hyundai","tiburon",2,2008,4,"manual(m5)","f",20,28,"r","subcompact",48,20,"pass","A"
"119","hyundai","tiburon",2,2008,4,"auto(l4)","f",20,27,"r","subcompact",47,20,"pass","A"
"120","hyundai","tiburon",2.7,2008,6,"auto(l4)","f",17,24,"r","subcompact",41,17,"pass","A"
"121","hyundai","tiburon",2.7,2008,6,"manual(m6)","f",16,24,"r","subcompact",40,16,"pass","A"
"122","hyundai","tiburon",2.7,2008,6,"manual(m5)","f",17,24,"r","subcompact",41,17,"pass","A"
"123","jeep","grand cherokee 4wd",3,2008,6,"auto(l5)","4",17,22,"d","suv",39,17,"pass","B"
"124","jeep","grand cherokee 4wd",3.7,2008,6,"auto(l5)","4",15,19,"r","suv",34,15,"pass","C"
"125","jeep","grand cherokee 4wd",4,1999,6,"auto(l4)","4",15,20,"r","suv",35,15,"pass","B"
"126","jeep","grand cherokee 4wd",4.7,1999,8,"auto(l4)","4",14,17,"r","suv",31,14,"pass","C"
"127","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv",21,9,"fail","D"
"128","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","suv",33,14,"pass","C"
"129","jeep","grand cherokee 4wd",5.7,2008,8,"auto(l5)","4",13,18,"r","suv",31,13,"pass","C"
"130","jeep","grand cherokee 4wd",6.1,2008,8,"auto(l5)","4",11,14,"p","suv",25,11,"fail","D"
"131","land rover","range rover",4,1999,8,"auto(l4)","4",11,15,"p","suv",26,11,"fail","D"
"132","land rover","range rover",4.2,2008,8,"auto(s6)","4",12,18,"r","suv",30,12,"pass","C"
"133","land rover","range rover",4.4,2008,8,"auto(s6)","4",12,18,"r","suv",30,12,"pass","C"
"134","land rover","range rover",4.6,1999,8,"auto(l4)","4",11,15,"p","suv",26,11,"fail","D"
"135","lincoln","navigator 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv",28,11,"fail","D"
"136","lincoln","navigator 2wd",5.4,1999,8,"auto(l4)","r",11,16,"p","suv",27,11,"fail","D"
"137","lincoln","navigator 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv",30,12,"pass","C"
"138","mercury","mountaineer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv",31,14,"pass","C"
"139","mercury","mountaineer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv",32,13,"pass","C"
"140","mercury","mountaineer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv",32,13,"pass","C"
"141","mercury","mountaineer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv",30,13,"pass","C"
"142","nissan","altima",2.4,1999,4,"manual(m5)","f",21,29,"r","compact",50,21,"pass","A"
"143","nissan","altima",2.4,1999,4,"auto(l4)","f",19,27,"r","compact",46,19,"pass","A"
"144","nissan","altima",2.5,2008,4,"auto(av)","f",23,31,"r","midsize",54,23,"pass","A"
"145","nissan","altima",2.5,2008,4,"manual(m6)","f",23,32,"r","midsize",55,23,"pass","A"
"146","nissan","altima",3.5,2008,6,"manual(m6)","f",19,27,"p","midsize",46,19,"pass","A"
"147","nissan","altima",3.5,2008,6,"auto(av)","f",19,26,"p","midsize",45,19,"pass","A"
"148","nissan","maxima",3,1999,6,"auto(l4)","f",18,26,"r","midsize",44,18,"pass","A"
"149","nissan","maxima",3,1999,6,"manual(m5)","f",19,25,"r","midsize",44,19,"pass","A"
"150","nissan","maxima",3.5,2008,6,"auto(av)","f",19,25,"p","midsize",44,19,"pass","A"
"151","nissan","pathfinder 4wd",3.3,1999,6,"auto(l4)","4",14,17,"r","suv",31,14,"pass","C"
"152","nissan","pathfinder 4wd",3.3,1999,6,"manual(m5)","4",15,17,"r","suv",32,15,"pass","C"
"153","nissan","pathfinder 4wd",4,2008,6,"auto(l5)","4",14,20,"p","suv",34,14,"pass","C"
"154","nissan","pathfinder 4wd",5.6,2008,8,"auto(s5)","4",12,18,"p","suv",30,12,"pass","C"
"155","pontiac","grand prix",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize",44,18,"pass","A"
"156","pontiac","grand prix",3.8,1999,6,"auto(l4)","f",16,26,"p","midsize",42,16,"pass","A"
"157","pontiac","grand prix",3.8,1999,6,"auto(l4)","f",17,27,"r","midsize",44,17,"pass","A"
"158","pontiac","grand prix",3.8,2008,6,"auto(l4)","f",18,28,"r","midsize",46,18,"pass","A"
"159","pontiac","grand prix",5.3,2008,8,"auto(s4)","f",16,25,"p","midsize",41,16,"pass","A"
"160","subaru","forester awd",2.5,1999,4,"manual(m5)","4",18,25,"r","suv",43,18,"pass","A"
"161","subaru","forester awd",2.5,1999,4,"auto(l4)","4",18,24,"r","suv",42,18,"pass","A"
"162","subaru","forester awd",2.5,2008,4,"manual(m5)","4",20,27,"r","suv",47,20,"pass","A"
"163","subaru","forester awd",2.5,2008,4,"manual(m5)","4",19,25,"p","suv",44,19,"pass","A"
"164","subaru","forester awd",2.5,2008,4,"auto(l4)","4",20,26,"r","suv",46,20,"pass","A"
"165","subaru","forester awd",2.5,2008,4,"auto(l4)","4",18,23,"p","suv",41,18,"pass","A"
"166","subaru","impreza awd",2.2,1999,4,"auto(l4)","4",21,26,"r","subcompact",47,21,"pass","A"
"167","subaru","impreza awd",2.2,1999,4,"manual(m5)","4",19,26,"r","subcompact",45,19,"pass","A"
"168","subaru","impreza awd",2.5,1999,4,"manual(m5)","4",19,26,"r","subcompact",45,19,"pass","A"
"169","subaru","impreza awd",2.5,1999,4,"auto(l4)","4",19,26,"r","subcompact",45,19,"pass","A"
"170","subaru","impreza awd",2.5,2008,4,"auto(s4)","4",20,25,"p","compact",45,20,"pass","A"
"171","subaru","impreza awd",2.5,2008,4,"auto(s4)","4",20,27,"r","compact",47,20,"pass","A"
"172","subaru","impreza awd",2.5,2008,4,"manual(m5)","4",19,25,"p","compact",44,19,"pass","A"
"173","subaru","impreza awd",2.5,2008,4,"manual(m5)","4",20,27,"r","compact",47,20,"pass","A"
"174","toyota","4runner 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","suv",35,15,"pass","B"
"175","toyota","4runner 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","suv",36,16,"pass","B"
"176","toyota","4runner 4wd",3.4,1999,6,"auto(l4)","4",15,19,"r","suv",34,15,"pass","C"
"177","toyota","4runner 4wd",3.4,1999,6,"manual(m5)","4",15,17,"r","suv",32,15,"pass","C"
"178","toyota","4runner 4wd",4,2008,6,"auto(l5)","4",16,20,"r","suv",36,16,"pass","B"
"179","toyota","4runner 4wd",4.7,2008,8,"auto(l5)","4",14,17,"r","suv",31,14,"pass","C"
"180","toyota","camry",2.2,1999,4,"manual(m5)","f",21,29,"r","midsize",50,21,"pass","A"
"181","toyota","camry",2.2,1999,4,"auto(l4)","f",21,27,"r","midsize",48,21,"pass","A"
"182","toyota","camry",2.4,2008,4,"manual(m5)","f",21,31,"r","midsize",52,21,"pass","A"
"183","toyota","camry",2.4,2008,4,"auto(l5)","f",21,31,"r","midsize",52,21,"pass","A"
"184","toyota","camry",3,1999,6,"auto(l4)","f",18,26,"r","midsize",44,18,"pass","A"
"185","toyota","camry",3,1999,6,"manual(m5)","f",18,26,"r","midsize",44,18,"pass","A"
"186","toyota","camry",3.5,2008,6,"auto(s6)","f",19,28,"r","midsize",47,19,"pass","A"
"187","toyota","camry solara",2.2,1999,4,"auto(l4)","f",21,27,"r","compact",48,21,"pass","A"
"188","toyota","camry solara",2.2,1999,4,"manual(m5)","f",21,29,"r","compact",50,21,"pass","A"
"189","toyota","camry solara",2.4,2008,4,"manual(m5)","f",21,31,"r","compact",52,21,"pass","A"
"190","toyota","camry solara",2.4,2008,4,"auto(s5)","f",22,31,"r","compact",53,22,"pass","A"
"191","toyota","camry solara",3,1999,6,"auto(l4)","f",18,26,"r","compact",44,18,"pass","A"
"192","toyota","camry solara",3,1999,6,"manual(m5)","f",18,26,"r","compact",44,18,"pass","A"
"193","toyota","camry solara",3.3,2008,6,"auto(s5)","f",18,27,"r","compact",45,18,"pass","A"
"194","toyota","corolla",1.8,1999,4,"auto(l3)","f",24,30,"r","compact",54,24,"pass","A"
"195","toyota","corolla",1.8,1999,4,"auto(l4)","f",24,33,"r","compact",57,24,"pass","A"
"196","toyota","corolla",1.8,1999,4,"manual(m5)","f",26,35,"r","compact",61,26,"pass","A"
"197","toyota","corolla",1.8,2008,4,"manual(m5)","f",28,37,"r","compact",65,28,"pass","A"
"198","toyota","corolla",1.8,2008,4,"auto(l4)","f",26,35,"r","compact",61,26,"pass","A"
"199","toyota","land cruiser wagon 4wd",4.7,1999,8,"auto(l4)","4",11,15,"r","suv",26,11,"fail","D"
"200","toyota","land cruiser wagon 4wd",5.7,2008,8,"auto(s6)","4",13,18,"r","suv",31,13,"pass","C"
"201","toyota","toyota tacoma 4wd",2.7,1999,4,"manual(m5)","4",15,20,"r","pickup",35,15,"pass","B"
"202","toyota","toyota tacoma 4wd",2.7,1999,4,"auto(l4)","4",16,20,"r","pickup",36,16,"pass","B"
"203","toyota","toyota tacoma 4wd",2.7,2008,4,"manual(m5)","4",17,22,"r","pickup",39,17,"pass","B"
"204","toyota","toyota tacoma 4wd",3.4,1999,6,"manual(m5)","4",15,17,"r","pickup",32,15,"pass","C"
"205","toyota","toyota tacoma 4wd",3.4,1999,6,"auto(l4)","4",15,19,"r","pickup",34,15,"pass","C"
"206","toyota","toyota tacoma 4wd",4,2008,6,"manual(m6)","4",15,18,"r","pickup",33,15,"pass","C"
"207","toyota","toyota tacoma 4wd",4,2008,6,"auto(l5)","4",16,20,"r","pickup",36,16,"pass","B"
"208","volkswagen","gti",2,1999,4,"manual(m5)","f",21,29,"r","compact",50,21,"pass","A"
"209","volkswagen","gti",2,1999,4,"auto(l4)","f",19,26,"r","compact",45,19,"pass","A"
"210","volkswagen","gti",2,2008,4,"manual(m6)","f",21,29,"p","compact",50,21,"pass","A"
"211","volkswagen","gti",2,2008,4,"auto(s6)","f",22,29,"p","compact",51,22,"pass","A"
"212","volkswagen","gti",2.8,1999,6,"manual(m5)","f",17,24,"r","compact",41,17,"pass","A"
"213","volkswagen","jetta",1.9,1999,4,"manual(m5)","f",33,44,"d","compact",77,33,"pass","A"
"214","volkswagen","jetta",2,1999,4,"manual(m5)","f",21,29,"r","compact",50,21,"pass","A"
"215","volkswagen","jetta",2,1999,4,"auto(l4)","f",19,26,"r","compact",45,19,"pass","A"
"216","volkswagen","jetta",2,2008,4,"auto(s6)","f",22,29,"p","compact",51,22,"pass","A"
"217","volkswagen","jetta",2,2008,4,"manual(m6)","f",21,29,"p","compact",50,21,"pass","A"
"218","volkswagen","jetta",2.5,2008,5,"auto(s6)","f",21,29,"r","compact",50,21,"pass","A"
"219","volkswagen","jetta",2.5,2008,5,"manual(m5)","f",21,29,"r","compact",50,21,"pass","A"
"220","volkswagen","jetta",2.8,1999,6,"auto(l4)","f",16,23,"r","compact",39,16,"pass","B"
"221","volkswagen","jetta",2.8,1999,6,"manual(m5)","f",17,24,"r","compact",41,17,"pass","A"
"222","volkswagen","new beetle",1.9,1999,4,"manual(m5)","f",35,44,"d","subcompact",79,35,"pass","A"
"223","volkswagen","new beetle",1.9,1999,4,"auto(l4)","f",29,41,"d","subcompact",70,29,"pass","A"
"224","volkswagen","new beetle",2,1999,4,"manual(m5)","f",21,29,"r","subcompact",50,21,"pass","A"
"225","volkswagen","new beetle",2,1999,4,"auto(l4)","f",19,26,"r","subcompact",45,19,"pass","A"
"226","volkswagen","new beetle",2.5,2008,5,"manual(m5)","f",20,28,"r","subcompact",48,20,"pass","A"
"227","volkswagen","new beetle",2.5,2008,5,"auto(s6)","f",20,29,"r","subcompact",49,20,"pass","A"
"228","volkswagen","passat",1.8,1999,4,"manual(m5)","f",21,29,"p","midsize",50,21,"pass","A"
"229","volkswagen","passat",1.8,1999,4,"auto(l5)","f",18,29,"p","midsize",47,18,"pass","A"
"230","volkswagen","passat",2,2008,4,"auto(s6)","f",19,28,"p","midsize",47,19,"pass","A"
"231","volkswagen","passat",2,2008,4,"manual(m6)","f",21,29,"p","midsize",50,21,"pass","A"
"232","volkswagen","passat",2.8,1999,6,"auto(l5)","f",16,26,"p","midsize",42,16,"pass","A"
"233","volkswagen","passat",2.8,1999,6,"manual(m5)","f",18,26,"p","midsize",44,18,"pass","A"
"234","volkswagen","passat",3.6,2008,6,"auto(s6)","f",17,26,"p","midsize",43,17,"pass","A"
